name,email,pref,gender,orientation,q1,q2,q3
Keven,kyz6@georgetown.edu,R,X,S,6.273704939,7.690164674,9.999476984
Lucas,lll50@georgetown.edu,R,X,S,3.460725924,0.287805001,7.741672102
Sarah,set71@georgetown.edu,R,F,G,4.478749521,6.844469794,2.879318928
Ed,js4759@georgetown.edu,R,F,B,7.468384921,7.455864452,6.467027972
Lauren,lr50,R,F,S,4.363903476,2.354172497,3.564250746
Evan,yt2,F,F,S,9.711982317,0.494662803,7.995253327
Taylor,ui568,R,X,B,3.036932932,5.058721652,2.15182456
Jack,bhrn473,R,F,G,1.964258897,8.857768108,5.142166667
Jake,bhrn474,R,X,S,3.329521616,7.475486273,4.703300788
Tyler,bhrn475,F,F,G,0.905582273,9.151725665,6.888915308
Brianna,bhrn476,F,X,S,4.710758965,9.963697976,6.088655829
Hanna,bhrn477,R,X,B,4.593769429,5.89333388,6.084556959
Dylan,bhrn478,F,X,G,1.735402301,5.416484337,5.305691841
Tyler,bhrn479,F,M,S,3.949073653,4.967411892,2.08563312
Ivy,bhrn480,F,F,S,3.417563134,5.608834259,7.564406624
Tenzin,bhrn481,F,M,G,1.04939724,4.536252914,1.926463603
Maggie,bhrn482,R,X,S,7.963258791,9.192288752,7.885215151
Dalia,bhrn483,F,X,S,3.585982115,1.583444252,9.268332189
Linh,bhrn484,R,F,B,8.103300869,2.269843886,7.004118706
Chris,bhrn485,F,F,G,1.638119446,4.954911339,2.949263152
Banana,bhrn486,F,X,S,8.604392997,0.597643028,0.74725317
Reka,bhrn487,F,X,S,9.873978655,4.262679428,3.58942611
Griffin Saunders,bhrn488,F,M,B,5.391320218,1.210657198,1.784523171
Quinton Stewart,bhrn489,F,M,B,1.226749662,0.213698535,5.100641293
Damari Lowe,bhrn490,R,M,S,4.80893993,6.382956998,9.748439408
Jefferson Simpson,bhrn491,R,F,S,8.273016169,4.358818969,5.194740666
Kenley Lang,bhrn492,R,F,S,6.693444973,3.96416288,1.716056635
